model_key,Model,Label,Metric level,PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Specificity,Balanced Accuracy,Brier,Accuracy,TN,FP,FN,TP
M1,M1 calibrated Elastic-Net,T18,patient-weighted,0.5423126094688967,0.8309954555219978,0.7658959537572257,0.2342763324071736,0.35880077369439084,0.526809042371919,0.7868742969628798,0.7763851253600527,0.12946471108906926,0.7852283770651117,106.59523809523822,28.871428571428556,2.6999999999999997,8.833333333333334
M1,M1 calibrated Elastic-Net,T21,row-level,0.10284592629494681,0.5232588357588358,0.6923076923076923,0.025787965616045846,0.049723756906077346,0.11221945137157108,0.42567567567567566,0.558991683991684,0.1613481556650011,0.43140495867768597,252.0,340.0,4.0,9.0
M1,M1 calibrated Elastic-Net,T21,patient-weighted,0.10054615278740786,0.513718689179117,0.6666666666666666,0.02775312930692689,0.05328789965924733,0.11895706216518014,0.4303744261932412,0.5485205464299538,0.16244760190031152,0.4360004319187992,61.75873015873021,81.74126984127001,1.1666666666666665,2.333333333333333
M1,M1 calibrated Elastic-Net,Any,row-level,0.3611799613790232,0.7642456860678023,0.9253731343283582,0.13626373626373625,0.23754789272030652,0.4287690179806362,0.2695167286245353,0.5974449314764467,0.35039151278974223,0.3421487603305785,145.0,393.0,5.0,62.0
M1,M1 calibrated Elastic-Net,Any,patient-weighted,0.42626516097447903,0.7753036334285223,0.923913043478261,0.14170858623402285,0.24572776592349685,0.4391301041745871,0.27471213895394186,0.5993125912161015,0.3446669591313847,0.3492009502213584,35.74920634920634,94.38412698412712,1.2833333333333332,15.583333333333329
M2,M2 calibrated Random Forest,T13,row-level,0.2740697521735525,0.7458538771851188,0.7391304347826086,0.08133971291866028,0.14655172413793102,0.2823920265780731,0.6701030927835051,0.7046167637830569,0.038969112827127256,0.6727272727272727,390.0,192.0,6.0,17.0
M2,M2 calibrated Random Forest,T13,patient-weighted,0.36025301354276873,0.7734756040909887,0.7648648648648648,0.08999364002543984,0.16103945371775408,0.30596799769352734,0.6613412228796848,0.7131030438722747,0.0398606593559278,0.6656840513983371,93.13888888888906,47.694444444444464,1.45,4.716666666666667
M2,M2 calibrated Random Forest,T18,row-level,0.3524845719033531,0.8146534961499572,0.7391304347826086,0.17989417989417988,0.28936170212765955,0.45576407506702415,0.7227191413237924,0.7309247880532006,0.06799278993174397,0.7239669421487603,404.0,155.0,12.0,34.0
M2,M2 calibrated Random Forest,T18,patient-weighted,0.36241553189232556,0.8282381852512297,0.7803468208092487,0.19057542350094095,0.3063374574531307,0.4820116974972795,0.717824334458193,0.7490855776337209,0.0684407650372105,0.7227297268113595,97.24126984126994,38.22539682539682,2.533333333333333,8.999999999999998
M2,M2 calibrated Random Forest,T21,row-level,0.023969759264264937,0.5037681912681913,0.5384615384615384,0.01907356948228883,0.03684210526315789,0.08353221957040573,0.3918918918918919,0.46517671517671516,0.026310312341282595,0.3950413223140496,232.0,360.0,6.0,7.0
M2,M2 calibrated Random Forest,T21,patient-weighted,0.026355017352041064,0.5095314471123332,0.5476190476190476,0.02201538798133017,0.04232906245070364,0.09482785700823,0.40666445439964566,0.47714175100934664,0.02831320232705766,0.41002051614296514,58.35634920634924,85.14365079365098,1.5833333333333333,1.9166666666666665
M2,M2 calibrated Random Forest,Any,row-level,0.3737418745401896,0.7493480552627199,0.8507462686567164,0.12808988764044943,0.22265625,0.3997194950911641,0.2788104089219331,0.5647783387893248,0.1188842001192129,0.3421487603305785,150.0,388.0,10.0,57.0
M2,M2 calibrated Random Forest,Any,patient-weighted,0.41152726120689254,0.7585625439206496,0.8498023715415021,0.13332742735648456,0.23049238073359338,0.40959068147180455,0.28403103044496447,0.5669167009932332,0.1181054193114234,0.34894719792678974,36.961904761904755,93.17142857142873,2.533333333333333,14.333333333333329
M3,M3 calibrated LightGBM,T13,row-level,0.1366075495803914,0.6733154041535934,0.7391304347826086,0.0625,0.1152542372881356,0.23351648351648352,0.5618556701030928,0.6504930524428507,0.04074613624657551,0.5685950413223141,327.0,255.0,6.0,17.0
M3,M3 calibrated LightGBM,T13,patient-weighted,0.12840864473806504,0.6662242276088428,0.7648648648648648,0.06990942242089156,0.12810950635912893,0.2559651994142473,0.5544265990419839,0.6596457319534244,0.04456602368482605,0.5632545081524674,78.0817460317462,62.751587301587385,1.45,4.716666666666667
M3,M3 calibrated LightGBM,T18,row-level,0.34390849040179367,0.7353581706463405,0.8260869565217391,0.14074074074074075,0.24050632911392406,0.4185022026431718,0.5849731663685152,0.7055300614451272,0.07413522758865718,0.6033057851239669,327.0,232.0,8.0,38.0
M3,M3 calibrated LightGBM,T18,patient-weighted,0.3286350235266068,0.7182400356340936,0.8439306358381505,0.14824126677142493,0.2521848203820606,0.4353320365190473,0.5871648856392955,0.7155477607387228,0.07646497429278518,0.6073102256775726,79.54126984126998,55.925396825396845,1.8,9.733333333333333
M3,M3 calibrated LightGBM,T21,row-level,0.020650434003818788,0.45114345114345117,0.7692307692307693,0.021413276231263382,0.041666666666666664,0.09633911368015415,0.22804054054054054,0.4986356548856549,0.025248852442984845,0.2396694214876033,135.0,457.0,3.0,10.0
M3,M3 calibrated LightGBM,T21,patient-weighted,0.022615671441473553,0.448448911116905,0.738095238095238,0.023051591657519178,0.04470693266490397,0.10245837136831489,0.23704441126043882,0.4875698246778385,0.02721086335001663,0.24897419285174385,34.015873015873005,109.48412698412713,0.9166666666666665,2.583333333333333
M3,M3 calibrated LightGBM,Any,row-level,0.3626878875516762,0.6926427342839704,0.9402985074626866,0.11645101663585952,0.20723684210526316,0.38936959208899874,0.11152416356877323,0.5259113355157299,0.10149650496810861,0.20330578512396694,60.0,478.0,4.0,63.0
M3,M3 calibrated LightGBM,Any,patient-weighted,0.3607875701255915,0.679433967931273,0.9357707509881423,0.12065450839066634,0.21374907296939963,0.3980042748384924,0.11605313231850105,0.5259119416533217,0.10388060243842162,0.21010689990281828,15.102380952380951,115.03095238095253,1.0833333333333333,15.783333333333328
